Date,weekly_Deceased,weekly_Hospital_admissions,weekly_Covid19_positives
2020-02-27,0,1,0
2020-02-28,0,1,0
2020-02-29,0,1,1
2020-03-01,0,1,2
2020-03-02,0,0,3
2020-03-03,0,1,3
2020-03-04,0,1,5
2020-03-05,0,1,7
2020-03-06,0,2,11
2020-03-07,0,2,18
2020-03-08,0,4,23
2020-03-09,0,5,31
2020-03-10,0,6,49
2020-03-11,1,8,65
2020-03-12,1,11,80
2020-03-13,1,13,91
2020-03-14,1,16,115
2020-03-15,2,18,135
2020-03-16,3,23,165
2020-03-17,5,37,188
2020-03-18,7,48,220
2020-03-19,10,55,258
2020-03-20,14,72,318
2020-03-21,18,96,378
2020-03-22,23,116,439
2020-03-23,27,143,480
2020-03-24,33,163,546
2020-03-25,42,196,617
2020-03-26,49,231,704
2020-03-27,62,259,794
2020-03-28,71,297,867
2020-03-29,82,347,937
2020-03-30,89,384,983
2020-03-31,105,448,995
2020-04-01,113,472,1019
2020-04-02,125,513,1029
2020-04-03,128,536,1008
2020-04-04,142,522,988
2020-04-05,139,483,989
2020-04-06,140,450,999
2020-04-07,149,391,991
2020-04-08,153,365,984
2020-04-09,151,315,1002
2020-04-10,147,273,1046
2020-04-11,141,252,1089
2020-04-12,140,246,1099
2020-04-13,137,228,1101
2020-04-14,120,217,1113
2020-04-15,126,202,1080
2020-04-16,131,190,1060
2020-04-17,136,182,1047
2020-04-18,137,171,1030
2020-04-19,134,158,1009
2020-04-20,132,151,979
2020-04-21,140,138,958
2020-04-22,131,127,955
2020-04-23,124,122,927
2020-04-24,118,117,866
2020-04-25,115,112,789
2020-04-26,113,109,736
2020-04-27,111,107,687
2020-04-28,94,103,612
2020-04-29,95,96,567
2020-04-30,88,90,514
2020-05-01,87,83,467
2020-05-02,81,83,437
2020-05-03,84,77,392
2020-05-04,80,73,363
2020-05-05,86,72,381
2020-05-06,70,64,371
2020-05-07,71,56,351
2020-05-08,67,55,328
2020-05-09,64,50,307
2020-05-10,55,47,293
2020-05-11,54,47,290
2020-05-12,49,41,272
2020-05-13,52,46,258
2020-05-14,44,45,246
2020-05-15,40,40,229
2020-05-16,35,39,216
2020-05-17,34,37,199
2020-05-18,35,37,194
2020-05-19,30,36,182
2020-05-20,28,29,177
2020-05-21,28,27,174
2020-05-22,22,23,172
2020-05-23,20,18,169
2020-05-24,20,18,176
2020-05-25,20,15,186
2020-05-26,19,11,188
2020-05-27,17,11,189
2020-05-28,17,11,178
2020-05-29,20,11,178
2020-05-30,19,10,172
2020-05-31,18,9,173
2020-06-01,18,9,157
2020-06-02,15,9,153
2020-06-03,15,9,138
2020-06-04,12,8,140
2020-06-05,10,8,145
2020-06-06,9,8,152
2020-06-07,9,8,161
2020-06-08,8,8,170
2020-06-09,10,8,180
2020-06-10,10,7,192
2020-06-11,9,6,188
2020-06-12,7,5,187
2020-06-13,7,6,186
2020-06-14,7,6,172
2020-06-15,7,6,171
2020-06-16,6,5,167
2020-06-17,5,5,157
2020-06-18,5,5,152
2020-06-19,4,6,138
2020-06-20,5,4,125
2020-06-21,5,4,118
2020-06-22,4,4,105
2020-06-23,4,4,96
2020-06-24,3,4,91
2020-06-25,3,4,89
2020-06-26,3,3,87
2020-06-27,2,4,85
2020-06-28,2,4,81
2020-06-29,3,4,82
2020-06-30,3,4,80
2020-07-01,3,3,77
2020-07-02,3,3,72
2020-07-03,2,2,70
2020-07-04,3,2,68
2020-07-05,3,2,69
2020-07-06,3,1,64
2020-07-07,3,1,61
2020-07-08,3,2,60
2020-07-09,3,2,58
2020-07-10,3,2,56
2020-07-11,2,2,59
2020-07-12,2,2,62
2020-07-13,2,2,67
2020-07-14,3,3,76
2020-07-15,3,3,83
2020-07-16,3,3,92
2020-07-17,3,3,98
2020-07-18,3,3,107
2020-07-19,3,3,114
2020-07-20,3,3,130
2020-07-21,1,2,140
2020-07-22,1,2,149
2020-07-23,1,2,155
2020-07-24,1,2,162
2020-07-25,1,2,167
2020-07-26,1,2,177
2020-07-27,1,2,181
2020-07-28,1,3,188
2020-07-29,1,3,200
2020-07-30,1,4,225
2020-07-31,1,4,251
2020-08-01,1,4,287
2020-08-02,1,5,308
2020-08-03,1,5,331
2020-08-04,1,6,369
2020-08-05,1,6,394
2020-08-06,1,6,432
2020-08-07,1,5,457
2020-08-08,1,5,465
2020-08-09,1,6,496
2020-08-10,1,5,555
2020-08-11,1,5,574
2020-08-12,1,6,606
2020-08-13,2,7,602
2020-08-14,2,8,618
2020-08-15,2,8,642
2020-08-16,2,8,631
2020-08-17,2,8,588
2020-08-18,2,7,570
2020-08-19,3,8,556
2020-08-20,4,9,550
2020-08-21,3,10,536
2020-08-22,4,10,515
2020-08-23,3,10,509
2020-08-24,4,10,521
2020-08-25,4,12,510
2020-08-26,4,12,513
2020-08-27,3,12,509
2020-08-28,4,11,505
2020-08-29,4,9,504
2020-08-30,4,9,512
2020-08-31,3,9,505
2020-09-01,3,8,512
2020-09-02,3,6,533
2020-09-03,3,6,546
2020-09-04,3,5,581
2020-09-05,3,6,602
2020-09-06,3,6,661
2020-09-07,3,6,700
2020-09-08,2,6,772
2020-09-09,2,6,832
2020-09-10,2,8,866
2020-09-11,2,8,941
2020-09-12,2,9,1023
2020-09-13,2,10,1047
2020-09-14,2,10,1118
2020-09-15,2,13,1176
2020-09-16,2,14,1233
2020-09-17,2,14,1362
2020-09-18,3,14,1461
2020-09-19,3,18,1556
2020-09-20,4,18,1664
2020-09-21,4,21,1796
2020-09-22,5,21,1919
2020-09-23,5,24,2033
2020-09-24,7,25,2147
2020-09-25,8,28,2263
2020-09-26,13,28,2379
2020-09-27,14,30,2541
2020-09-28,14,32,2640
2020-09-29,15,34,2750
2020-09-30,16,36,2886
2020-10-01,15,39,2988
2020-10-02,14,37,3137
2020-10-03,12,38,3314
2020-10-04,11,36,3460
2020-10-05,11,39,3696
2020-10-06,12,44,3914
2020-10-07,16,46,4155
2020-10-08,16,47,4518
2020-10-09,16,53,4826
2020-10-10,17,56,5189
2020-10-11,18,60,5525
2020-10-12,19,60,5848
2020-10-13,21,63,6249
2020-10-14,20,65,6575
2020-10-15,23,69,6860
2020-10-16,23,72,7146
2020-10-17,24,76,7378
2020-10-18,24,78,7635
2020-10-19,24,81,7804
2020-10-20,26,79,7919
2020-10-21,30,83,8128
2020-10-22,32,87,8337
2020-10-23,36,91,8625
2020-10-24,40,93,8702
2020-10-25,42,99,8991
2020-10-26,43,98,9322
2020-10-27,47,101,9625
2020-10-28,46,99,9533
2020-10-29,49,95,9675
2020-10-30,54,95,9832
2020-10-31,54,98,9994
2020-11-01,55,98,9783
2020-11-02,56,100,9492
2020-11-03,62,99,9132
2020-11-04,69,101,9065
2020-11-05,73,103,8594
2020-11-06,77,101,8045
2020-11-07,80,102,7596
2020-11-08,81,99,7164
2020-11-09,82,94,6651
2020-11-10,79,91,6208
2020-11-11,75,87,5891
2020-11-12,75,86,5702
2020-11-13,66,85,5535
2020-11-14,68,82,5431
2020-11-15,68,82,5396
2020-11-16,69,87,5419
2020-11-17,68,87,5368
2020-11-18,69,91,5254
2020-11-19,67,92,5265
2020-11-20,67,88,5246
2020-11-21,61,86,5266
2020-11-22,58,82,5260
2020-11-23,59,77,5309
2020-11-24,60,77,5261
2020-11-25,59,74,5307
2020-11-26,59,69,5134
2020-11-27,63,71,5109
2020-11-28,65,69,4886
2020-11-29,65,70,4913
2020-11-30,62,70,4827
2020-12-01,58,67,4839
2020-12-02,57,65,4838
2020-12-03,54,66,4999
2020-12-04,51,63,5017
2020-12-05,48,62,5311
2020-12-06,48,59,5483
2020-12-07,47,62,5842
2020-12-08,48,64,6143
2020-12-09,48,66,6377
2020-12-10,49,66,6823
2020-12-11,50,66,7246
2020-12-12,52,69,7617
2020-12-13,52,73,8061
2020-12-14,55,73,8257
2020-12-15,57,72,8329
2020-12-16,58,71,8990
2020-12-17,60,74,9570
2020-12-18,63,78,10017
2020-12-19,63,82,10461
2020-12-20,63,84,10909
2020-12-21,63,85,11296
2020-12-22,67,88,11753
2020-12-23,71,92,11644
2020-12-24,73,91,11463
2020-12-25,75,91,11402
